img,class,conf,class-name,read,run,write
472,0,0.93,person,0.006,0.030,0.012
473,0,0.89,person,0.006,0.030,0.011
474,0,0.90,person,0.005,0.029,0.011
475,0,0.94,person,0.006,0.030,0.012
476,0,0.94,person,0.006,0.031,0.012
477,0;58,0.91;0.57,person;potted plant,0.006,0.030,0.012
478,0,0.94,person,0.006,0.030,0.011
479,0,0.93,person,0.006,0.030,0.011
48,0;6,0.93;0.63,person;train,0.006,0.030,0.011
480,0;2,0.93;0.84,person;car,0.006,0.029,0.012
481,0,0.93,person,0.006,0.030,0.011
482,0,0.90,person,0.006,0.031,0.012
483,0,0.93,person,0.006,0.030,0.011
484,0,0.93,person,0.006,0.030,0.012
485,0,0.94,person,0.006,0.030,0.012
486,0,0.93,person,0.006,0.029,0.011
487,0,0.92,person,0.006,0.030,0.011
488,0,0.93,person,0.006,0.030,0.011
489,0;2,0.93;0.60,person;car,0.006,0.030,0.011
49,0,0.94,person,0.006,0.030,0.012
490,0,0.93,person,0.006,0.030,0.011
491,0;0,0.93;0.63,person;person,0.006,0.029,0.011
492,0;13,0.94;0.73,person;bench,0.006,0.029,0.012
493,0,0.94,person,0.006,0.031,0.011
494,0;2,0.93;0.56,person;car,0.006,0.030,0.012
495,0,0.93,person,0.006,0.030,0.011
496,0;2,0.92;0.71,person;car,0.006,0.030,0.011
497,0,0.92,person,0.006,0.029,0.011
498,0,0.91,person,0.006,0.030,0.012
499,0,0.91,person,0.006,0.030,0.011
5,0,0.90,person,0.006,0.030,0.011
50,0,0.95,person,0.006,0.030,0.011
500,0;2,0.91;0.83,person;car,0.006,0.029,0.011
501,0,0.94,person,0.006,0.030,0.011
502,0,0.92,person,0.006,0.030,0.011
503,0;24,0.94;0.79,person;backpack,0.006,0.030,0.011
504,0,0.94,person,0.006,0.030,0.011
505,0,0.92,person,0.006,0.029,0.011
506,0,0.90,person,0.006,0.030,0.011
507,0,0.90,person,0.006,0.030,0.011
508,0;7,0.93;0.59,person;truck,0.006,0.030,0.011
509,0,0.86,person,0.006,0.030,0.010
51,0,0.94,person,0.006,0.029,0.011
510,0,0.90,person,0.006,0.030,0.011
511,0,0.92,person,0.006,0.030,0.010
512,0,0.91,person,0.006,0.030,0.011
513,0,0.94,person,0.006,0.029,0.011
514,0,0.88,person,0.006,0.029,0.011
515,0,0.93,person,0.006,0.030,0.011
516,0;6;2,0.92;0.76;0.62,person;train;car,0.006,0.031,0.011
517,0,0.92,person,0.006,0.030,0.011
518,0;2,0.86;0.68,person;car,0.005,0.030,0.011
519,0,0.92,person,0.006,0.029,0.011
52,0,0.94,person,0.006,0.030,0.011
520,0,0.90,person,0.006,0.030,0.011
521,0,0.93,person,0.006,0.030,0.011
522,0,0.93,person,0.006,0.029,0.010
523,0;58,0.89;0.73,person;potted plant,0.006,0.030,0.012
524,0,0.93,person,0.006,0.030,0.011
525,0,0.93,person,0.006,0.030,0.010
526,0,0.90,person,0.006,0.030,0.011
527,0,0.94,person,0.006,0.029,0.011
528,0,0.92,person,0.006,0.030,0.011
529,0,0.94,person,0.006,0.030,0.011
53,0,0.94,person,0.006,0.030,0.011
530,0,0.92,person,0.006,0.030,0.011
531,0,0.89,person,0.006,0.029,0.011
532,0,0.90,person,0.006,0.030,0.011
